Acronym,Authors,Year,LongDescription,Journal,Detailed Definition
roic,Brown and Rowe,2007,Return on invested capital,WP,"EBIT (ebit) minus non-operating income (nopi) divided by the sum of equity (ceq), liabilities (lt) and cash (che)."
WW,Whited and Wu,2006,Whited-Wu index,RFS,Group data by 3 digit SIC code and month to compute total sales (sale) by industry. Calculate the Whited-Wu index as -0.091*(income before extraordninary items (ib) + depreciation and amortizarion (dp)) / (4 * assets(at)) - 0.062( if the dividends per share (dvpsx_c) is not missing and greater than 0) + 0.021 * long-term debt (dltt) / at - 0.044 * log(at) + 0.102 * (twelve-month growth of Industry Sales) / 4 - 0.035 * (one-month growth of sales) / 4.
ZScore,Dichev,1998,Altman Z-Score,JFE,"1.2*(current assets (act) - current liabilities (lct))/total assets (at) + 1.4*(Retained earnings (re)/total assets (at)) + 3.3*(net income (ni) + interest expense (xint) + total taxes (txt))/total assets (at) +  .6*(market value of equity/Total liabilities (lt)) + revenue (revt)/ total assets (at). Include only NYSE stocks. Exclude if SIC code between 4000 and 4999, or above 5999.  Exclude if ZScore is in bottom quintile of ZScore (original paper shows non-monotonic returns, as does our replication)"
ConsNegRet,Watkins,2003,Consistently negative return,Journal of Behavioral Finance,Define consistent negative returns (ConsNegRet) as 1 if stock returns from months t to t-5 are all less than 0.
ConsPosRet,Watkins,2003,Consistently positive return,Journal of Behavioral Finance,Define consistent positive returns (ConsPosRet) as 1 if stock returns from months t to t-5 are all greater than 0.
invest,Chen and Zhang,2010,Capex and Inventory Change,"JF, but retracted","Annual change in property, plant and equipment (ppegt) plus annual change in inventory (invt), scaled by lagged total assets (at). Use ppent if ppegt is missing."
PosNegCons,Watkins,2003,Pos vs negative consistent return,Journal of Behavioral Finance,"Binary signal equal to if ConsPosRet equal to 1, and equal to 0 if CosnNegRet equal to 1."
sinOrig,Hong and Kacperczyk,2009,Sin Stock (original list),JFE,0
AbnormalAccrualsPercent,"Hafzalla, Lundholm, Van Winkle",2011,Percent Abnormal Accruals,AR,See AbnormalAccruals.  signal = AbnormalAccruals x lagged assets / absolute value of ni
AccrualQuality,"Francis, LaFond, Olsson, Schipper",2005,Accrual Quality,JAE,"Define Accruals (tempAccruals) as (difference between current assets (act) and one-year lagged current assets) - (difference between cash and short-term investments (che) and one-year lagged cash and short-term investments) - (difference between current liabilities (lct) and one-year lagged current liabilities) + (difference between debt in current liabilities (dlc) and one-year lagged debt in current liabilities) - (depreciation and amortization (dp)) all divided by (mean of total assets (at) and one-year lagged total assets ). Create tempCAcc as tempAccruals + dp/( (at + l.at)/2), tempRev as sale/( (at + l.at)/2), tempDelRev as tempRev - l.tempRev, tempPPE as ppegt/( (at + l.at)/2) where ppegt is total gross property, plant and equipment and tempCFO as ib/( (at + l.at)/2) - tempAccruals where ib is the income before extraordinary items. Run a regression for each year and industry of tempCAcc on the current value and one year lead and lag of tempDelRev and tempPPE. Save the regression residuals and replace with missing if there are not at least 20 obersvations per year and industry. Calculate accrual quality (AQ) as the standard deviation of residuals over 4 years. If more than one observation is missing set  AQ to missing. Replace AccrualQuality by the one-year lagged AQ to make sure the signal is available at time of investment."
AccrualQualityJune,"Francis, LaFond, Olsson, Schipper",2005,Accrual Quality in June,JAE,see AccrualQuality. Update only with June values for each variable.
AMq,Fama and French,1992,Total assets to market (quarterly),JF,Total assets (at) divided by market value of equity.
AssetGrowth_q,"Cooper, Gulen and Schill",2008,Asset growth quarterly,JF,Annual growth rate of total assets (at)
AssetLiquidityBook,Ortiz-Molina and Phillips,2014,Asset liquidity over book assets,JFQA,(assets (at) + 0.75*(at - short term investments(che)) + 0.5*(at- curren total assets (act) - goodwill(gdwl) - intangibles (itan)) scaled by the one-month lagged book assets (at).
AssetLiquidityBookQuart,Ortiz-Molina and Phillips,2014,Asset liquidity over book (qtrly),JFQA,(short term investments (cheq) + 0.75*(actq - short term investments(cheq)) + 0.5*(atq- curren total assets (actq) - goodwill(gdwlq) - intangibles (itanq)) scaled by the one-month lagged book assets (atq). Replace goodwill and intangibles with 0 if they are missing.
AssetLiquidityMarket,Ortiz-Molina and Phillips,2014,Asset liquidity over market,JFQA,(assets (at) + 0.75*(at - short term investments(che)) + 0.5*(at- curren total assets (act) - goodwill(gdwl) - intangibles (itan)) scaled by the one-month lagged market assets (at + end-of-fiscal-year-stock-price (prcc_f) * common shares outstanding (csho) - book equity (ceq)).
AssetLiquidityMarketQuart,Ortiz-Molina and Phillips,2014,Asset liquidity over market (qtrly),JFQA,(short term investments (cheq) + 0.75*(actq - short term investments(cheq)) + 0.5*(atq- curren total assets (actq) - goodwill(gdwlq) - intangibles (itanq)) scaled by the one-month lagged book assets (atq) + lagged closing price (prccq) times lagged common shares outstanding (cshoq) - lagged book equity (ceqq). Replace goodwill and intangibles with 0 if they are missing.
AssetTurnover,Soliman,2008,Asset Turnover,AR,"Sales (sale) divided by two year average of net operating assets. Net operating assets is the sum of receivables (rect), inventories (invt), current assets other (aco), net property, plants and equipment (ppent) and intangibles (intan), minus accounts payable (ap), other current liabilities (lco) and other liabilities (lo). Exclude if abs(prc) < 5 or AssetTurnover < 0."
AssetTurnover_q,Soliman,2008,Asset Turnover,AR,"Sales (sale) divided by two year average of net operating assets. Net operating assets is the sum of receivables (rect), inventories (invt), current assets other (aco), net property, plants and equipment (ppent) and intangibles (intan), minus accounts payable (ap), other current liabilities (lco) and other liabilities (lo). Exclude if abs(prc) < 5 or AssetTurnover < 0."
betaCC,Acharya and Pedersen,2005,Illiquidity-illiquidity beta (beta2i),JFE,see monthly Code
betaCR,Acharya and Pedersen,2005,Illiquidity-market return beta (beta4i),JFE,see monthly Code
BetaDimson,Dimson,1979,Dimson Beta,JFE,"Rolling regression of daily return (ret - rf) on the same-day, one-day ahead, and one-day lagged value of the market return (mktrf). Rolling regression with 20 observations (minimum 15). BetaDimson is the sum of the three coefficients."
betaNet,Acharya and Pedersen,2005,"Net liquidity beta (betanet,p)",JFE,see monthly Code
betaRC,Acharya and Pedersen,2005,Return-market illiquidity beta,JFE,see monthly Code
betaRR,Acharya and Pedersen,2005,Return-market return illiquidity beta,JFE,see monthly Code
BMq,"Rosenberg, Reid, and Lanstein",1985,Book to market (quarterly),JF,Log of quarterly book equity over market equity.
BookLeverageQuarterly,Fama and French,1992,Book leverage (quarterly),JF,"Total assets (atq) divided by book value of equity plus deferred taxes (txditcq) and preferred stock. Equity is shareholder equity (seqq) if available, or book equity (ceqq) plus preferred stock (pstkq), or total assets minus total liabilities (ltq)."
BrandCapital,"Belo, Lin and Vitorino",2014,Brand capital to assets,RED,"Brand capital is computed by the perpetual inventory method. In the first year, brand capital is advertising expense divided by (.5 + .1). In subsequent years, we let brand capital depreciate with a rate of .5 and add current advertising expenses. Brand capital is scaled by total assets (at). Set to missing if advertising expense is missing."
CapTurnover,Haugen and Baker,1996,Capital turnover,JFE,Lagged sales (sale) divided by two-year lagged assets (at).
CapTurnover_q,Haugen and Baker,1996,Capital turnover (quarterly),JFE,Sales (saleq) divided by one quarter lagged assets (atq).
cashdebt,Ou and Penman,1989,CF to debt,JAR,Sum of income before extraordinary items (ib) and depreciation and amortization (dp) divided by total liabilities (lt) averaged over the current and previous fiscal years.
CBOperProfLagAT,Ball et al.,2016,Cash-based oper prof lagged assets,JFE,"Revenue (revt) minus cost (cogs) - (administrative expenses (xsga) - R&D expenses (xrd))  minus annual change in receivables (rect), annual change in investment (invt) and annual change in prepaid expenses, plus annual change in current deferred revenue (drc), long-term deferred revenue (drlt), accounts payable (ap) and accrued expenses (xacc), all divided by total assets (at) in year t-1. Replace all variables in the numerator with 0 if they are missing. Exclude if share code is greater 11, market value of equity, BM or total assets are missing, or if SIC code between 6000 and 6999."
CBOperProfLagAT_q,Ball et al.,2016,Cash-based oper prof lagged assets qtrly,JFE,"Revenue (revtq) minus cost (cogsq) - (administrative expenses (xsgaq) - R&D expenses (xrdq))  minus annual change in receivables (rectq), annual change in investment (invtq) and annual change in prepaid expenses, plus annual change in current deferred revenue (drcq), long-term deferred revenue (drlt), accounts payable (apq) and accrued expenses (xaccq), all divided by total assets (atq) in previous quarter. Replace all variables in the numerator with 0 if they are missing. Exclude if share code is greater 11, market value of equity, BM or total assets are missing, or if SIC code between 6000 and 6999."
cfpq,"Desai, Rajgopal, Venkatachalam",2004,Operating Cash flows to price quarterly,AR,"Operating cash-flow (oancf) divided by market value of equity. If operating cash-flow is missing, replace by difference betwee net income (ib) and level of accruals, where the latter is the annual change in current assets (act) minus the annual change in cash and short-term investments (che), minus the annual change in current liabilities (lct) plus the annual change in debt in current liabilities (dlc) plus the annual change in payable income taxes (txp) plus depreciation (dp)."
CFq,"Lakonishok, Shleifer, Vishny",1994,Cash flow to market quarterly,JF,Net income (ib) plus depreciation (dp) divided by market equity. Exclude NASDAQ stocks.
ChangeRoA,"Balakrishnan, Bartov and Faurel",2010,Change in Return on assets,NA,Quarterly return on assets (rdq/atq) minus its value four quarters ago.
ChangeRoE,"Balakrishnan, Bartov and Faurel",2010,Change in Return on equity,NA,Quarterly return on equity (ceqq/atq) minus its value four quarters ago.
ChNCOA,Soliman,2008,Change in Noncurrent Operating Assets,AR,Twelve-month change in noncurrent operating assets. Noncurrent operating assets is ( (at - act - ivao) - (lt - dlc - dltt) )/at.
ChNCOL,Soliman,2008,Change in Noncurrent Operating Liab,AR,Twelve-month change in noncurrent operating liabilites. Noncurrent operating liabilites is (lt - dlc- dltt).
ChPM,Soliman,2008,Change in Profit Margin,AR,Annual change in profit margin PM (profit margin defined below). Exclude if price less than 5.
currat,Ou and Penman,1989,Current Ratio,JAR,"Current total assets (act) divided by current total liabilities (lct). If missing, replace current total assets by cash and short-term investments (che) plus total receivables (rect) plus total inventory (invt), and replace current total liabilities (lct) with accounts payable (ap)."
depr,Holthausen and Larcker,1992,Depreciation to PPE,JAE,"Depreciation and amortization (dp) divided by property, plant and equipment net total (ppent)."
DivYield,"Naranjo, Nimalendran, Ryngaert",1998,Dividend yield for small stocks,JF,Define tempDY as 4 times latest dividend (divamt) divided by price (prc). Define positive yield stocks as those which paid a dividend in all of the past 4 quarters.  Set DivYield to missing if stock is above the median firm size.  This procedure is based on Table 1B.
DivYieldAnn,"Naranjo, Nimalendran, Ryngaert",1998,Last year's dividends over price,NA,NA
EarningsConservatism,"Francis, LaFond, Olsson, Schipper",2004,Earnings conservatism,AR,"Earnings (ib) scaled by market capitalization (shrout*abs(prc)) regressed on the 15 month stock return from (t=-11 to t=+3), an indicator for whether that 15- month return is negative and the interaction of these two variables. Rolling regression in annual data with 10 observations. EarningsConservatism is the sum of the coefficients on the 15-month stock return and the interaction term divided by the coefficient on the 15-month stock return."
EarningsPersistence,"Francis, LaFond, Olsson, Schipper",2004,Earnings persistence,AR,Earnings per share (epspx/ajex) regressed on its value from the previous year. Rolling regression in annual data with 10 observations. EarningsPersistence is the coefficient on the lagged value.
EarningsPredictability,"Francis, LaFond, Olsson, Schipper",2004,Earnings Predictability,AR,Earnings per share (epspx/ajex) regressed on its value from the previous year. Rolling regression in annual data with 10 observations. EarningsPredictability is the R2 of this regression.
EarningsSmoothness,"Francis, LaFond, Olsson, Schipper",2004,Earnings Smoothness,AR,10-year rolling standard deviation of (ib/at) divided by 10-year rolling standard deviation of cash-flow ((ib - ( (act - act_{t-1}) - (lct - lct_{t-1}) - (che - che_{t-1}) + (dlc - dlc_{t-1}) - dp))/at_{t-1})
EarningsTimeliness,"Francis, LaFond, Olsson, Schipper",2004,Earnings timeliness,AR,"Earnings (ib) scaled by market capitalization (shrout*abs(prc)) regressed on the 15 month stock return from (t=-11 to t=+3), an indicator for whether that 15- month return is negative and the interaction of these two variables. Rolling regression in annual data with 10 observations. EarningsTimeliness is the R2 of this regression."
EarningsValueRelevance,"Francis, LaFond, Olsson, Schipper",2004,Value relevance of earnings,AR,"15 month stock return from (t=-11 to t=+3) regressed on Earnings (ib) and the change in earnings, both scaled by market capitalization (shrout*abs(prc)). Rolling regression in annual data with 10 observations. EarningsValueRelevance is the R2 of this regression."
EBM_q,"Penman, Richardson and Tuna",2007,Enterprise component of BM,JAR,(ceq + che - dltt - dlc - dc - dvpa+ tstkp ) / (mve\_c + che - dltt - dlc - dc - dvpa+ tstkp). Exclude if price less than 5.
EntMult_q,Loughran and Wellman,2011,Enterprise Multiple quarterly,JFQA,"Market value of equity + long-term debt (dltt) + debt in current liabilities (dlc) + deferred charges (dc) - cash and short-term investments (che) , divided by operating income (oibdp). Exclude if missing book equity or negative operating income."
EPq,Basu,1977,Earnings-to-Price Ratio,JF,"ib / lag(market value of equity, 6 months).  NYSE stocks only.  Exclude if EP < 0.  Lag simulates the Dec 31 market equity used in original paper"
ETR,Abarbanell and Bushee,1998,Effective Tax Rate,AR,"Let Tax be tax payments (txt) over pre-tax income (pi) and amortization of intangibles (am, 0 if missing). Let earnings per share be epspx/ajex. ETR if Tax minus the average of Tax over the previous three years multiplied by one-year EPS growth scaled by by price (prcc_f)."
FailureProbabilityJune,"Campbell, Hilscher and Szilagyi",2008,Failure probability,JF,"Failure probability is -9.16 -.058*PRICE + .075*MB - 2.13*CASHMTA -.045*RSIZE + 1.41*IdioRisk - 7.13*EXRETAVG + 1.42*TLMTA - 20.26*NIMTAAVG. PRICE is log(min(abs(prc), 15)); MB is shrout*abs(prc)/ceqq; CASHMTA is cheq/(shrout*abs(prc) + ltq); RSIZE is log(shrout*abs(prc)/ sum of shrout*abs(prc) for the largest 500 companies each month); IdioRisk is defined above, EXRETAVG is the weighted average excess return (log(1 + ret) - log(1 + mktrf)) over the previous 12 months, with weight on month t-j being $\phi^j$ and the sum scaled by $\frac{1-\phi}{1-\phi^{12}}$; TLMTA is total liabilities (ltq/(shrout*abs(prc)); NIMTAAVG is a weighted average of net income over total assets (ibq/(shrout*abs(prc) + ltq)) over four quarters, with weight $\phi^q$ on quarter $t-q$ and the sum scaled by $\frac{1-\phi^3}{1-\phi^{12}}$. $\phi = 2^{-\frac{1}{3}}$. All input variables are winsorized at the 5th and 95th percentile. Exclude if price less than 1."
fgr5yrNoLag,La Porta,1996,Long-term EPS forecast (Monthly),JF,"Long-term earnings forecast (fgr5yr).  Exclude if book equity (ceq), net income (ib), deferred taxes (txdi), dividends (dvp), revenue (sale) or depreciation (dp) is missing."
FRbook,Franzoni and Marin,2006,Pension Funding Status,JF,"FR = (FVPA - PBO), scaled by total assets (at). FVPA is pbnaa from 1980 to 1986, pplao + pplao from 1987 to 1997, and pplao after 1997. PBO is pbnvv from 1980 to 1986, pbpro + pbpru from 1987 to 1997, and pbpro after 1997. Exclude if price less than 5 or  shrcd > 11."
GPlag,Novy-Marx,2013,gross profits / total assets,JFE,"Revenue (sale) - cost of goods solds (cogs), divided by 12 months lagged total assets."
GPlag_q,Novy-Marx,2013,gross profits / total assets,JFE,"Revenue (revtq) - cost of goods solds (cogsq), divided by one quarter lagged total assets (atq)."
grcapx1y,Anderson and Garcia-Feijoo,2006,Investment growth (1 year),AR,"Growth between one-year lagged capital expenditures (capx) and two-year lagged capital expenditures. Replace capx with the one year difference in property, plant and equipment (ppent) if capx is missing and the corresponding firm age is greater or equal than two years."
GrGMToGrSales,Abarbanell and Bushee,1998,Gross margin growth to sales growth,AR,"Define gross margin GM as revenue (sale) minus cost of goods sold (cogs). GrGMToGrSales is the percentage growth of GM relative to average GM in years t-1 and t-2, minus the percentage growth of revenue relative to average revenue in years t-1 and t-2. Replace growth rates with growth relative to the previous year only if data for t-2 are not available."
GrSaleToGrReceivables,Abarbanell and Bushee,1998,Change in sales vs change in receiv,AR,"Percentage growth in sales (sale) relative to average sales of t-1 and t-2, minus percentage growth in receivables (rect) relative to average receivables of t-1 and t-2. Both growth terms are calculated relative to t-1 only if t-2 is missing."
IdioVolCAPM,Ang et al.,2006,Idiosyncratic risk (CAPM),JF,Standard deviation of residuals from CAPM regressions using the past month of daily data.  Value weighted
IdioVolQF,Ang et al.,2006,Idiosyncratic risk (q factor),JF,Standard deviation of residuals from q-factor regressions using the past month of daily data.  Value weighted
IntrinsicValue,Frankel and Lee,1998,Intrinsic or historical value,JAE,"Value based on a two-stage dividend discount model assuming ROE is remains the same as the most recent observation, scaled by market value."
KZ_q,"Lamont, Polk and Saa-Requejo",2001,Kaplan Zingales index quarterly,RFS,-1.002* (net income (ni) + depreciation (dp))/total assets (at) + .283*(total assets (at) + market value of equity - book value of equity (ceq) - deferred taxes (txdi))/total assets (at) + 3.319*(debt in current liabilities (dlc) + long-term debt (dltt))/(debt in current liabilities + long-term debt + book value of equity) - 39.368*(Dividends (divamt)/total assets) - 1.315*(cash and short-term investments (che)/total assets). Replace txdi and divamt with 0 if missing.
LaborforceEfficiency,Abarbanell and Bushee,1998,Laborforce efficiency,AR,One year growth of the ratio between sales (sale) and employment (emp).
Leverage_q,Bhandari,1988,Market leverage quarterly,JFE,Total liabilities (lt) divided by market value of equity.
nanalyst,"Elgers, Lo and Pfeiffer",2001,Number of analysts,AR,Number of estimates (numest) in IBES for one-quarter ahead earnings. Replace with 0 if missing after 1989.
NetDebtPrice_q,"Penman, Richardson and Tuna",2007,Net debt to price,JAR,"Long-term debt (dltt) plus debt in current liabilities (dlc) plus preferred stock (pstk) plus preferred dividends in arrears (dvpa) minus treasury stock (tstkp) minus cash and short-term investments (che), scaled by market value of equity. Exclude if SIC between 6000 and 6999, or if missing value for total assets (at), net income (ib), common shares outstanding (csho), book value of equity (ceq) or price close fiscal year (prcc\_f).  Keep only 3rd B/M Quintile, following Table 4 (and in contrast to Table 1)."
NetPayoutYield_q,Boudoukh et al.,2007,Net Payout Yield quarterly,JF,"Dividends (dvc) plus purchase of common and preferred stock (prstkc) minus sale of common and preferred stock (sstk), divided by market value of equity."
OperProfLag,Fama and French,2006,operating profits / book equity,JFE,"Revenue (revt) minus cost (cogs) - administrative expenses (xsga) - interest expenses (xint), scaled by lagged book value of equity (ceq). Exclude smallest size tercile."
OperProfLag_q,Fama and French,2006,operating profits / book equity,JFE,"Revenue (revtq) minus cost (cogsq) - administrative expenses (xsgaq) - interest expenses (xintq), scaled by equity. Equity is shareholder equity (seqq) if not missing. Otherwise, the sum of book equity (ceqq) and preferred stock (pstkq) if not missing. Otherwise, assets (atq) minus liabilities (ltq)."
OperProfRDLagAT,Ball et al.,2016,Oper prof R&D adj lagged assets,JFE,"Revenue (revt) minus cost (cogs) - (administrative expenses (xsga) - R&D expenses (xrd)), all divided by total assets (at) in year t-1. Replace all variables in the numerator with 0 if they are missing. Exclude if share code is greater 11, market value of equity, BM or total assets are missing, or if SIC code between 6000 and 6999."
OperProfRDLagAT_q,Ball et al.,2016,Oper prof R&D adj lagged assets (qtrly),JFE,"Revenue (revtq) minus cost (cogsq) - (administrative expenses (xsgaq) - R&D expenses (xrdq)), all divided by total assets (atq) in quarter t-1. Replace all variables in the numerator with 0 if they are missing. Exclude if share code is greater 11, market value of equity, BM or total assets are missing, or if SIC code between 6000 and 6999."
OPLeverage_q,Novy-Marx,2010,Operating leverage (qtrly),ROF,"Sum of administrative expenses (xsga) and cost of goods sold (cogs), scaled by total assets (at).  Use xsga = 0 if xsga is missing."
OrgCapNoAdj,Eisfeldt and Papanikolaou,2013,Org cap w/o industry adjustment,JF,OrgCapAdj without the industry adjustment (see OrgCapAdj).
OScore_q,Dichev,1998,O Score quarterly,JFE,"OScore = -1.32 - .407*log(at/GNP deflator) + 6.03*(lt/at) - 1.43*( (act - lct)/at) + .076*(lct/act) - 1.72*I(lt > at) - 2.37*(ib/at) - 1.83*(fopt/lt) + .285*(ib + ib$_{t-12}$ + ib$_{t-24}$ < 0) -  .521*( (ib - ib$_{t-12}$)/(abs(ib) + .abs(ib$_{t-12}$)) ). fopt = oancf if fopt is missing.  Exclude Exclude if SIC code between 3999 and 4999, or greater than 5999. Exclude if price less than 5.  Then exclude if OScore is in bottom quintile of OScore (original paper shows non-monotonic returns, as does our replication)"
PayoutYield_q,Boudoukh et al.,2007,Payout Yield quarterly,JF,"Sum of dividends (dvc), purchase of common and preferred stock (prstkc) and max(preferred stock redemption value (pstkrv), 0), divided by lag(market value of equity, 6 months).  Exclude if PayoutYield $\leq$ 0."
pchcurrat,Ou and Penman,1989,Change in Current Ratio,JAR,One year growth of the current ratio (currat) defined as current total assets (act) divided by current total liabilities (lct).
pchdepr,Holthausen and Larcker,1992,Change in depreciation to PPE,JAE,"Annual percentage change in the ratio of depreciation (dp) to property, plant and equipment (ppent)."
pchgm_pchsale,Abarbanell and Bushee,1998,Change in gross margin vs sales,AR,growth in (sale-cogs) minus growth in sale
pchquick,Ou and Penman,1989,Change in quick ratio,JAR,"One year growth in quick ratio, defined as change between total current assets (act) and inventory (invt) scaled by the total current liabilities (lct)."
pchsaleinv,Ou and Penman,1989,Change in sales to inventory,JAR,One year growth in sales (sale) to inventory (invt) ratio.
PM,Soliman,2008,Profit Margin,AR,Net income (ni) over revenue (revt). Exclude if price less than 5.
PM_q,Soliman,2008,Profit Margin,AR,Net income (ni) over revenue (revt). Exclude if price less than 5.
PS_q,Piotroski,2000,Piotroski F-score,AR,Sum of nine indicator variables which are: 1 if net income (ib) greater 0; 1 if net cash flow (oancf) greater 0; 1 if return on assets (ib/at) increased relative to previous year; 1 if net cash flow greater net income; 1 if long-term debt to assets (dltt/at) declined over the previous year;  if current assets to current liabilities (act/lct) increased over the previous year; 1 if ebit/sale (ebit = ib + txt + xint) increased over the previous year; 1 if revenue to assets increased over the previous year; 1 if shrout $\leq$ shrout last year. Include highest quintile of book-to-market only.  Exclude if missing any of the input variables.
quick,Ou and Penman,1989,Quick ratio,JAR,Difference between current total assets (act) and total inventory (invt) all divided by the current total liabilities (lct).
RD_q,"Chan, Lakonishok and Sougiannis",2001,R&D over market cap quarterly,JF,R&D expense (xrd) over market value of equity.
rd_sale_q,"Chan, Lakonishok and Sougiannis",2001,R&D to sales,JF,One year lagged quarterly R&D (xrdq) divided by one year lagged quarterly sales (saleq).
ResidualMomentum6m,"Blitz, Huij and Martens",2011,6 month residual momentum,JEmpFin,"Run a rolling regression over 36 months of excess return (retrf) on excess market return (mktrf), size and value factors (smb, hml) and compute idiosyncratic returns as the one-month lagged residual. ResidualMomentum is the rolling mean of the residual divided by the rolling standard deviation of the residual, both computed over the past 6 months."
RetNOA,Soliman,2008,Return on Net Operating Assets,AR,Net income (ni) over revenue (revt). Exclude if price less than 5.
RetNOA_q,Soliman,2008,Return on Net Operating Assets,AR,Net income (ni) over revenue (revt). Exclude if price less than 5.
ReturnSkewCAPM,"Bali, Engle and Murray",2015,Idiosyncratic skewness (CAPM),Book,Skewness of idiosyncratic returns computed as residuals from regression of daily excess returns (ret - rf) on market factor (mktrf) over the previous month. We require at least 15 non-missing observations.
ReturnSkewQF,"Bali, Engle and Murray",2015,Idiosyncratic skewness (Q model),Book,"Skewness of idiosyncratic returns computed as residuals from regression of daily excess returns (ret - rf) on q-factors (r\_mkt, r\_me, r\_ia, r\_roe) over the previous month. We require at least 15 non-missing observations. We download q-factor data from \url{http://global-q.org/index.html}."
roavol,"Francis, LaFond, Olsson, Schipper",2004,RoA volatility,AR,Rolling standard deviation of quarterly return on assets (roaq) over 4 years (minimum 2 years).
salecash,Ou and Penman,1989,Sales to cash ratio,JAR,Sales (sale) divided by cash and short-term investments (che).
saleinv,Ou and Penman,1989,Sales to inventory,JAR,Sales (sale) divded by total inventory (invt).
salerec,Ou and Penman,1989,Sales to receivables,JAR,Sales (sale) divded by total receivables (rect).
secured,Valta,2016,Secured debt,JFQA,Debt/mortgages and other secured (dm) divided by long-term liabilities (dltt) plus current liabilities (dlc). Replace with 0 if missing.
securedind,Valta,2016,Secured debt indicator,JFQA,"Binary version of secured. 1 if secured greater than 0, 0 otherwise."
sgr,"Lakonishok, Shleifer, Vishny",1994,Annual sales growth,JF,Sales (sale) relative to t-1.
sgr_q,"Lakonishok, Shleifer, Vishny",1994,Annual sales growth quarterly,JF,Sales (sale) relative to t-1.
SP_q,"Barbee, Mukherji and Raines",1996,Sales-to-price quarterly,FAJ,Ratio of annual sales (sale) to market value of equity.
tang_q,Hahn and Lee,2009,Tangibility quarterly,JF,"Cash and short-term investments (che) plus .715*receivables (rect) + .547*inventory (invt) + .535* property, plant and equipment (ppent), scaled by total assets (at). Only defined for manufacturing firms (SIC $\geq$ 2000 and SIC <4000). Exclude the lowest tercile of manufacturing firms by total assets."
Tax_q,Lev and Nissim,2004,Taxable income to income (qtrly),AR,"Ratio of Taxes paid and tax share of net income. Numerator is defined as the sum of foreign (txfo) and federal (txfed) income taxes. If either one is missing, numerator is defined as total taxes (txt) minus deferred taxes (txdi). Denominator is the product of the prevailing tax rate and net income (ib). Tax rate is .48 before 1979, .46 from 1979 to 1986, .4 in 1987, .34 between 1988 and 1992 and .35 from 1993 onwards. If net income is negative, and the numerator is positive, tax is defined as 1. Exclude if price less than 5."
WW_Q,Whited and Wu,2006,Whited-Wu index,RFS,Group data by 3 digit SIC code and month to compute total sales (saleq) by industry. Calculate the Whited-Wu index as -0.091*(quarterly income before extraordninary items (ibq) + quarterly depreciation and amortizarion (dpq)) / (quarterly assets(atq)) - 0.062( if the quarterly dividends per share (dvpsxq) is not missing and greater than 0) + 0.021 * quarterly long-term debt (dlttq) / atq - 0.044 * log(atq) + 0.102 * (four-quarter growth of quarterly Industry Sales) - 0.035 * (one-quarter growth of quarterly sales (saleq)).
ZScore_q,Dichev,1998,Altman Z-Score quarterly,JFE,"1.2*(current assets (act) - current liabilities (lct))/total assets (at) + 1.4*(Retained earnings (re)/total assets (at)) + 3.3*(net income (ni) + interest expense (xint) + total taxes (txt))/total assets (at) +  .6*(market value of equity/Total liabilities (lt)) + revenue (revt)/ total assets (at). Include only NYSE stocks. Exclude if SIC code between 4000 and 4999, or above 5999.  Exclude if ZScore is in bottom quintile of ZScore (original paper shows non-monotonic returns, as does our replication)"
